WindowID,Mean,Std. Deviation,Skewness
0,0.5401601,0.12918486,-0.5478032827377319
1,0.692407,0.013895973,-0.7111027836799622
2,0.716813,0.011549219,0.49694329500198364
3,0.7785382,0.020054612,-0.5294596552848816
4,0.7490961,0.02728787,-0.2105386108160019
5,0.7147469,0.013645923,-1.1803845167160034
6,0.7129391,0.016152887,-0.9695112705230713
7,0.49857956,0.13323487,-0.17698773741722107
8,0.5453254,0.13027792,-1.1815162897109985
9,0.6406896,0.06837887,-0.8132667541503906
10,0.60220814,0.091751136,-1.1867432594299316
11,0.73198605,0.026868112,-0.9159730672836304
12,0.7126162,0.026828986,-0.7359098792076111
13,0.5718621,0.08394069,-0.5378910899162292
14,0.62829286,0.08428901,-2.1248953342437744
15,0.505811,0.15192752,-1.0227445363998413
16,0.6536674,0.0863326,-2.238654613494873
17,0.6263559,0.12116277,-0.5138407945632935
18,0.543453,0.08244745,-1.1342294216156006
19,0.6591555,0.05532887,-0.8319411873817444
20,0.6598011,0.07905443,-0.415366530418396
21,0.5624354,0.063207254,-0.554101824760437
22,0.56637394,0.114678435,-1.179336428642273
23,0.6135073,0.09174453,-2.6941537857055664
24,0.68033314,0.046730127,-0.3954005837440491
25,0.69912195,0.018216344,0.03208636865019798
26,0.69143856,0.036742996,0.28736612200737
27,0.6793001,0.027033934,-0.7233505249023438
28,0.7015754,0.03624155,-0.9693855047225952
29,0.65082645,0.032463342,0.06660830974578857
30,0.6749742,0.023650242,-0.4050944745540619
31,0.6574768,0.04408457,-0.676209568977356
32,0.6619318,0.15105778,-2.4479827880859375
33,0.7612345,0.022520527,-0.30793240666389465
34,0.7206224,0.024605619,-2.51578950881958
35,0.6952479,0.054581244,-0.3200068175792694
36,0.6752324,0.06681305,-0.745721161365509
37,0.70809656,0.036203973,-1.4772557020187378
38,0.7295971,0.019130759,-0.027115192264318466
39,0.6222882,0.100008644,-2.5860707759857178
40,0.47314048,0.26344597,-0.12606994807720184
41,0.7995222,0.013879011,-0.31646761298179626
42,0.73521435,0.031793218,-0.40155187249183655
43,0.6658058,0.04202337,-0.09523309767246246
44,0.6574122,0.030389452,0.038830049335956573
45,0.7360537,0.025278272,-0.9322360157966614
46,0.7449639,0.019756388,-0.874963641166687
47,0.442859,0.22656912,-0.21136140823364258
48,0.27937758,0.19694133,1.4874039888381958
49,0.7892562,0.03907909,-2.1108155250549316
50,0.69795966,0.10099355,-0.7856061458587646
51,0.5813533,0.1074675,0.06860614567995071
52,0.5456482,0.09690234,-0.02817223221063614
53,0.6749742,0.08190924,-1.430009365081787
54,0.69047,0.052313536,-1.1186882257461548
55,0.31740704,0.18983808,0.5382335782051086
56,0.23618285,0.116672024,2.115192174911499
57,0.7032541,0.04617014,0.4755809009075165
58,0.7674974,0.029557386,-2.101801872253418
59,0.70835483,0.038053878,0.23862038552761078
60,0.6783316,0.032620907,-0.25896868109703064
61,0.67884815,0.04536917,-1.340476632118225
62,0.59794676,0.04387566,0.06376344710588455
63,0.32024795,0.21162057,0.6060857772827148
