WindowID,Mean,Std. Deviation,Skewness
0,0.65883267,0.14686666,-1.1078091859817505
1,0.75794166,0.10426416,-1.173774003982544
2,0.729468,0.14603062,-0.8074491620063782
3,0.80229855,0.07462089,-2.406533718109131
4,0.82877064,0.0210434,-3.0103344917297363
5,0.7293389,0.13100706,-1.580958366394043
6,0.53028154,0.13385786,0.18803930282592773
7,0.2687242,0.094472475,0.7224146127700806
8,0.7235279,0.035030548,-0.5379078388214111
9,0.687048,0.0756578,-2.2337546348571777
10,0.59426653,0.09603237,-1.227052927017212
11,0.6751679,0.095611215,0.33387038111686707
12,0.723657,0.09787234,-0.3577747344970703
13,0.5387397,0.08245879,-1.9742333889007568
14,0.54506713,0.10128372,-1.2270921468734741
15,0.42142302,0.116750374,-0.6673022508621216
16,0.8004261,0.035574403,-1.2720946073532104
17,0.6346849,0.15382631,-0.6017074584960938
18,0.5994318,0.16474581,-0.841033935546875
19,0.77259815,0.07379667,-1.2064999341964722
20,0.7471591,0.08488968,-0.041229989379644394
21,0.6277763,0.13005929,-0.9915117621421814
22,0.5191761,0.17126556,-0.35904210805892944
23,0.59291065,0.08786153,-0.12067641317844391
24,0.81353307,0.036717173,-1.5369938611984253
25,0.8460098,0.0043976093,-0.23383529484272003
26,0.827092,0.020074556,-1.9513168334960938
27,0.8232826,0.02281798,-1.559210181236267
28,0.7648502,0.07764348,-0.4008483290672302
29,0.7813791,0.052846327,-1.079674482345581
30,0.8131457,0.01688771,-0.8863033652305603
31,0.65399015,0.118548155,-1.0049667358398438
32,0.76723915,0.044655435,-0.5809769034385681
33,0.8064308,0.035899457,-1.5481058359146118
34,0.8073993,0.021873241,-0.8474630117416382
35,0.7437371,0.100000024,-1.3543555736541748
36,0.64294934,0.10207354,-0.7533029913902283
37,0.7320506,0.024752663,-1.3258695602416992
38,0.74225205,0.03850479,-0.2706191837787628
39,0.5216942,0.14524846,-1.2225457429885864
40,0.7002841,0.14517489,-2.9127566814422607
41,0.79616475,0.02583734,-1.6857821941375732
42,0.7108729,0.12738061,-1.007641315460205
43,0.65857434,0.101398975,-0.450665682554245
44,0.6089876,0.09266046,0.08141152560710907
45,0.59736574,0.12967834,-0.6688337922096252
46,0.6801395,0.042873263,-0.4171126186847687
47,0.3151472,0.22808626,0.04194464161992073
48,0.38655734,0.2898256,-0.01595434918999672
49,0.77602017,0.031378265,-2.357633352279663
50,0.81062764,0.019361977,-1.2922513484954834
51,0.71468234,0.06700728,0.2116854190826416
52,0.66341686,0.06773398,0.0720345601439476
53,0.67587805,0.036843218,-0.5976890325546265
54,0.56669676,0.07044465,-0.517311155796051
55,0.18026859,0.16805616,1.190051555633545
56,0.1842717,0.18282019,1.18672776222229
57,0.5657283,0.09590127,0.8639957904815674
58,0.72172004,0.118313804,-0.8793473839759827
59,0.74761105,0.095347665,-0.9104963541030884
60,0.7158445,0.10037618,-0.8006113171577454
61,0.5512655,0.12480502,0.16430823504924774
62,0.51794934,0.050684195,-1.1225197315216064
63,0.2894499,0.14633442,0.4731784462928772
